Player Name,Rounds,Fairway Percentage,Year,Avg Distance,gir,Average Putts,Average Scrambling,Average Score,Points,Wins,Top 10,Average SG Putts,Average SG Total,SG:OTT,SG:APR,SG:ARG,Money
Brian Davis,91,68.61,2013,278.8,62.15,28.38,58.87,70.69,622,,3,0.232,0.689,0.051,0.222,0.185,1221524
John Huh,88,68.53,2013,282,66.6,29.64,59.36,70.758,661,,2,-0.227,0.298,0.179,0.155,0.19,1529482
Graeme McDowell,53,68.51,2013,277.5,62.7,29.04,61.09,70.503,941,1,4,0.136,0.543,0.251,0.217,-0.061,2174595
Ryan Moore,72,68.44,2013,282.3,64.32,29.18,57.68,70.825,653,,3,-0.028,0.35,0.232,0.007,0.139,1490265
"Ted Potter, Jr.",65,68.03,2013,280.3,64.48,29.1,60.77,70.615,518,,2,0.247,0.406,0.166,0.046,-0.052,829770
Jordan Spieth,82,67.8,2013,289.4,66.94,28.68,61.07,69.668,"1,436",1,7,0.182,1.473,0.611,0.48,0.2,3879820
Ben Kohles,75,67.78,2013,279,65.26,29.32,56.08,71.488,286,,1,0.051,-0.459,-0.042,-0.113,-0.354,419416
Darron Stiles,51,67.64,2013,275.1,62.24,29.04,61.26,71.947,125,,,-0.427,-0.912,-0.087,-0.401,0.003,184866
Doug LaBelle II,72,67.42,2013,280.1,64.37,28.9,56.12,71.317,290,,,0.545,-0.386,-0.243,-0.479,-0.21,338921
Roberto Castro,97,67.36,2013,282.3,67.3,29.24,61.47,70.494,823,,2,-0.465,0.466,0.204,0.379,0.348,2154898
Kevin Streelman,86,67.25,2013,287.5,66.41,29.33,59.42,70.267,"1,333",1,5,0.246,0.858,0.406,0.214,-0.008,3088284
Richard Lee,81,66.95,2013,279.1,66.52,29.05,63.58,70.912,565,,2,0.564,0.313,-0.134,-0.074,-0.043,920836
Hunter Mahan,91,66.61,2013,290,67.58,29.41,58.87,70.106,"1,101",,4,0.382,1.134,0.417,0.285,0.05,3036164
David Toms,49,66.5,2013,277.4,63.64,29.02,59.72,71.134,326,,1,-0.379,-0.679,-0.37,-0.026,0.095,646161
Colt Knost,69,66.48,2013,271.7,61.71,28.78,56.47,72.264,130,,,0.435,-1.279,-0.625,-0.847,-0.242,176710
Boo Weekley,100,66.36,2013,290.9,69.39,30.13,55.35,70.611,"1,335",1,4,-0.676,0.099,0.594,0.401,-0.221,2786662
Brendon de Jonge,110,66.28,2013,286.3,68.84,29.1,62.56,70.154,769,,3,0.03,0.756,0.28,0.414,0.032,1795244
D.H. Lee,65,66.23,2013,280.9,65.98,29.23,57.79,71.187,432,,3,0.037,-0.176,-0.142,-0.055,-0.015,882793
K.J. Choi,85,66.04,2013,278.3,65.87,29.12,62.98,70.322,666,,2,0.337,0.845,0.096,0.154,0.258,973751
Brian Stuard,78,65.99,2013,281.8,65.77,29.31,60.31,70.869,583,,4,0.067,-0.068,-0.128,0.118,-0.125,1032028
Bryce Molder,82,65.95,2013,273.8,63.68,28.4,61.76,70.52,504,,,0.594,0.504,-0.538,0.052,0.395,816922
Graham DeLaet,94,65.8,2013,298.6,70.51,29.63,59.72,70.089,856,,5,0.1,1.069,0.488,0.64,-0.159,2834900
Jason Bohn,70,65.74,2013,276.3,64.44,28.79,54.69,71.101,454,,2,0.185,-0.033,-0.156,0.034,-0.095,739030
George McNeill,68,65.62,2013,286,65.28,29.4,59.76,70.876,399,,,-0.028,0.185,-0.012,0.255,-0.03,500798
Vaughn Taylor,50,65.32,2013,289.8,63.53,28.61,56.95,70.897,246,,1,0.103,-0.038,-0.042,0.148,-0.247,399286
Dicky Pride,71,65.24,2013,274.8,64.43,29.07,59.44,71.293,293,,2,-0.011,-0.361,-0.365,0.012,0.002,495390
J.J. Henry,83,64.93,2013,284.7,67.97,30,56.53,70.992,516,,2,0.146,0.072,0.138,-0.122,-0.089,761861
David Lingmerth,68,64.87,2013,285.8,63.24,28.88,58.44,70.996,806,,3,-0.009,0.015,0.301,-0.255,-0.022,1748109
Jason Dufner,78,64.81,2013,285.9,67.53,29.4,59.11,69.912,"1,256",1,3,-0.231,0.581,0.475,0.44,-0.103,3132268
Brian Gay,79,64.79,2013,275.1,56.68,27.51,63.8,71.16,744,1,1,0.428,-0.266,-0.577,-0.453,0.336,1426017
Brandt Jobe,62,64.78,2013,292.1,66,29.69,54.65,71.175,283,,,-0.002,0.121,0.104,0.209,-0.191,309105
Tom Gillis,69,64.75,2013,286.3,60.68,29.02,60.22,71.559,264,,,0.173,-0.543,0.062,-0.905,0.126,345325
Matt Jones,83,64.74,2013,292.3,66,28.89,63.98,70.245,836,,4,0.145,0.885,0.396,0.123,0.22,1724707
Nicholas Thompson,99,64.74,2013,291.6,67.85,29.58,56.89,70.92,585,,2,-0.281,0.225,0.42,0.373,-0.288,959434
Russell Henley,80,64.68,2013,289,64.25,28.94,57.17,70.57,"1,048",1,3,0.609,0.754,0.432,-0.053,-0.233,2008026
Justin Leonard,86,64.36,2013,276.3,63.11,28.38,59.02,70.863,536,,1,0.348,0.115,-0.341,-0.255,0.363,694139
Kevin Stadler,83,64.21,2013,289.8,68.92,29.51,54.75,70.632,547,,2,-0.284,0.467,0.41,0.451,-0.11,1281177
Billy Horschel,96,64.17,2013,293.8,67.48,29.14,55.69,70.244,"1,487",1,7,0.381,0.656,0.465,-0.121,-0.069,3501703
Bo Van Pelt,72,63.8,2013,285.9,65.63,29.59,53.35,71.08,542,,1,-0.181,-0.07,0.186,0.025,-0.1,956629
Justin Rose,62,63.57,2013,296.6,68.89,29.3,60.71,69.225,"1,447",1,5,-0.188,1.723,0.459,0.961,0.491,4146148
D.J. Trahan,48,63.54,2013,293.4,67.87,29.67,56.39,71.429,169,,1,-0.247,-0.531,0.182,-0.448,-0.018,284249
D.A. Points,87,63.48,2013,281.1,62.77,29.08,55.92,71.116,"1,038",1,2,-0.161,0,-0.194,0.191,0.163,2658887
Webb Simpson,92,63.3,2013,285.4,66.67,28.93,57.95,69.783,"1,188",,4,0.313,1.271,0.216,0.517,0.225,2957582
Bob Estes,66,63.11,2013,285,64.9,28.41,66.19,70.361,523,,2,0.335,0.759,-0.216,0.277,0.362,769717
Aaron Watkins,46,63.03,2013,277.1,62.25,28.75,59.53,71.77,126,,1,0.402,-0.589,-0.568,-0.707,0.285,217495
Charlie Wi,75,63.02,2013,282.1,60.56,28.34,59.92,71.174,401,,1,0.176,-0.251,-0.224,-0.498,0.295,656672
Cameron Tringale,80,62.89,2013,287.2,67.01,29.09,61.68,70.724,654,,1,0.104,0.343,-0.079,0.169,0.149,971209
Luke Donald,60,62.87,2013,278.1,62.16,28.21,61.52,69.793,707,,4,0.528,1.279,-0.459,0.583,0.628,1930646
Keegan Bradley,88,62.82,2013,300.6,66.54,28.94,60.88,69.724,"1,416",,7,0.25,1.403,0.698,0.27,0.185,3636813
Greg Chalmers,77,62.8,2013,276.8,61.64,28.01,59.33,71.228,395,,2,0.857,-0.033,-0.552,-0.237,-0.102,632283
Will Claxton,67,62.8,2013,284.9,65.7,30.14,53.47,71.889,186,,,-0.709,-0.804,0.341,-0.222,-0.215,206722
Y.E. Yang,56,62.79,2013,286.7,62.7,29.11,56.65,71.348,182,,,-0.069,-0.573,0.133,-0.5,-0.137,259118
Jim Herman,59,62.71,2013,299.2,67.98,30.22,54.57,71.045,325,,2,-0.229,0.053,0.55,-0.091,-0.176,490756
Lee Westwood,70,62.59,2013,290.3,65.22,29.42,61.57,70.158,856,,6,-0.484,0.604,0.439,0.479,0.17,2081731
Brandt Snedeker,79,62.57,2013,281.3,65.68,28.38,60.86,69.791,"2,218",2,8,0.692,1.141,-0.025,0.121,0.354,5318087
Stuart Appleby,88,62.53,2013,284.7,65.21,28.71,65.21,70.834,395,,1,0.353,0.241,-0.28,-0.219,0.387,538333
Tiger Woods,61,62.5,2013,293.2,67.59,28.85,60,68.944,"3,059",5,7,0.426,2.064,-0.142,1.533,0.247,8553439
Scott Langley,79,62.45,2013,278.9,64,29.08,59.47,71.269,386,,1,0.04,-0.171,-0.302,-0.124,0.215,590684
David Mathis,71,62.42,2013,280.6,63.6,29.73,52.39,72.222,197,,1,-0.448,-1.149,-0.328,-0.267,-0.105,274477
Ian Poulter,59,62.42,2013,281.7,63.52,28.83,61.49,70.382,645,,3,0.177,0.514,0.2,-0.153,0.29,1723463
Chris Stroud,88,62.4,2013,277,64.33,28.4,64.6,70.546,800,,4,0.34,0.616,-0.578,0.52,0.333,1602122
Nick Watney,88,62.4,2013,291.2,68.48,29.99,56.35,70.78,663,,2,0.006,0.512,0.461,0.362,-0.317,2477639
Rod Pampling,46,62.35,2013,282.6,64.55,29.48,55.97,71.943,109,,,-0.564,-0.857,-0.115,-0.568,0.389,110451
Scott Brown,65,62.32,2013,289.5,64.1,29.03,55.71,71.25,588,1,1,-0.217,-0.067,0.338,-0.174,-0.014,1012142
Bill Haas,85,62.31,2013,288.2,67.79,29.27,62.01,70.023,"1,505",1,9,0.266,1.265,0.365,0.346,0.289,3475563
Vijay Singh,61,62.31,2013,288.1,69.13,30.89,57.23,70.995,291,,,-0.876,-0.025,0.371,0.501,-0.021,309351
William McGirt,75,62.3,2013,281.8,65.33,28.88,60.47,71,533,,2,0.229,0.068,-0.208,-0.118,0.165,867384
Rickie Fowler,75,62.27,2013,286.4,63.59,28.65,59.59,70.212,822,,4,0.425,0.783,0.143,0.141,0.074,1816742
David Hearn,88,62.08,2013,279.7,64.71,28.48,57.78,70.738,728,,2,0.484,0.345,-0.199,0.179,-0.119,1171515
Daniel Summerhays,83,62.08,2013,285.7,64.46,28.72,59.13,70.813,594,,4,0.221,0.453,-0.062,0.227,0.067,1277886
Fabián Gómez,65,61.88,2013,289.5,64.1,28.97,59.76,71.33,339,,1,0.124,-0.248,0.089,-0.435,-0.026,586942
Adam Scott,61,61.84,2013,297.8,68.8,29.52,56.38,69.3,"1,347",1,5,-0.027,1.31,0.734,0.548,0.055,4892611
Lucas Glover,65,61.62,2013,293.7,66.41,30.51,51.91,71.577,454,,2,-0.851,-0.086,0.541,0.307,-0.083,747812
Brendan Steele,86,61.56,2013,290.7,65.99,29.49,57.17,71.053,574,,2,0.028,0.023,0.025,-0.135,0.105,1004161
Kevin Chappell,80,61.52,2013,292.9,66.11,29.44,58.4,70.927,689,,3,-0.338,0.384,0.276,0.37,0.077,1589839
Michael Thompson,66,61.39,2013,279.4,61.78,29.18,57.71,71.298,828,1,3,-0.12,-0.511,-0.28,-0.179,0.067,1707637
Justin Bolli,59,61.36,2013,279.1,61.11,29.09,57.14,72.034,278,,2,0.038,-1.232,-0.273,-0.787,-0.21,545187
Martin Kaymer,61,61.36,2013,288.4,64.85,30,52.59,70.559,474,,3,0.137,0.135,0.402,-0.07,-0.335,882937
Pat Perez,69,61.35,2013,290.1,67.87,29.35,56.64,70.835,544,,4,-0.039,0.284,-0.127,0.505,-0.055,974800
Sergio Garcia,65,61.28,2013,291,67.46,28.92,57.45,69.543,684,,4,0.591,1.519,0.131,0.538,0.259,2251139
Luke Guthrie,82,61.24,2013,283.5,63.62,29.07,58.85,71.139,607,,2,-0.205,0.015,-0.116,0.28,0.055,991902
Trevor Immelman,73,61.19,2013,283.6,66.51,29.94,59.13,71.491,295,,1,-0.365,-0.291,-0.181,0.162,0.094,360549
Ben Crane,62,60.94,2013,281,63.98,28.98,63.83,70.864,369,,2,0.024,0.199,-0.143,0.313,0.005,796947
Geoff Ogilvy,57,60.94,2013,285.1,62.18,29.82,55.67,71.588,492,,1,-0.337,-0.649,-0.161,-0.268,0.117,892920
Andrew Svoboda,46,60.91,2013,290.1,65.91,29.7,52.96,71.747,89,,,0.067,-0.562,-0.027,-0.295,-0.308,77219
Martin Laird,68,60.78,2013,293.4,63.64,29.5,56.18,71.029,809,1,2,-0.127,0.009,0.389,-0.195,-0.058,1755393
Josh Teater,86,60.77,2013,293.7,66.53,29.46,53.44,70.904,682,,3,0.022,0.338,0.365,0.083,-0.133,1332652
Chad Campbell,78,60.7,2013,288.9,67.03,29.58,58.76,71.234,330,,1,-0.249,-0.044,-0.286,0.525,-0.033,510661
Brian Harman,89,60.64,2013,287.5,62.61,28.54,58.74,71.29,578,,2,0.147,-0.296,0.316,-0.856,0.096,909759
John Senden,79,60.57,2013,289.3,65.95,29.96,53.97,70.97,458,,,-0.138,0.078,0.344,-0.258,0.13,667027
Ben Curtis,59,60.55,2013,274.9,63.84,29.67,54.99,71.531,251,,,0.211,-0.248,-0.632,-0.034,0.208,372543
John Merrick,79,60.51,2013,284.3,66.53,29.27,56.51,70.736,909,1,2,0.063,0.517,0.038,0.365,0.051,1969478
Derek Ernst,58,60.49,2013,291.5,63.89,29.86,49.34,72.271,598,1,1,-0.216,-1.075,0.231,-0.564,-0.526,1330856
Ricky Barnes,74,60.31,2013,289.4,70.48,30.29,53.23,71.341,342,,,-0.584,-0.278,-0.181,0.714,-0.227,553878
Robert Karlsson,56,60.19,2013,287.2,63.14,29.67,57.39,71.482,236,,1,-0.337,-0.286,-0.217,0.125,0.143,444238
Steve LeBrun,66,60.16,2013,294.1,67.47,29.71,57.58,71.551,270,,,-0.181,-0.398,0.248,-0.28,-0.185,337157
Henrik Norlander,70,60.13,2013,295,67.4,29.75,55.14,71.36,229,,,-0.16,-0.254,0.166,-0.105,-0.155,401958
Charl Schwartzel,69,59.87,2013,296.1,65.85,29.01,55.02,69.651,871,,4,0.301,1.268,0.195,0.711,0.061,2256723
Charlie Beljan,62,59.86,2013,295.4,64.61,29.98,52.66,71.839,459,,1,-0.205,-0.524,0.424,-0.437,-0.306,916229
Greg Owen,73,59.76,2013,292.8,65.73,29.85,54.79,71.554,336,,,-0.669,-0.615,0.064,-0.045,0.036,442198
Lee Williams,62,59.76,2013,275.6,61.67,28.82,64.25,71.792,134,,,-0.427,-0.79,-0.514,-0.23,0.38,133755
Rory Sabbatini,86,59.72,2013,293.1,67.75,29.28,57.77,70.511,553,,5,-0.274,0.469,0.273,0.468,0.002,1327822
Chris Kirk,89,59.65,2013,289,65.92,28.26,65.38,70.206,904,,3,0.456,0.962,-0.213,0.62,0.099,1728616
Charley Hoffman,84,59.57,2013,294,65.48,29.05,53.83,70.497,793,,5,0.128,0.578,0.333,0.262,-0.145,1582423
Robert Streb,75,59.57,2013,297.7,65.57,29.27,57.95,71.089,359,,,0,-0.231,0.164,-0.398,0.003,454871
Kyle Stanley,71,59.54,2013,298.1,67.37,30.45,53.72,71.842,662,,3,-0.683,-0.332,0.64,0.419,-0.708,1462943
Carl Pettersson,82,59.43,2013,290.2,62.22,29.08,54.6,71.273,439,,1,-0.028,-0.129,0.026,-0.252,0.126,738143
Cameron Percy,68,59.28,2013,293.6,65.74,29.14,60.44,71.106,230,,,0.121,-0.167,0.001,-0.198,-0.092,277336
David Lynn,70,59.27,2013,277.9,62.48,28.7,60.52,71.016,716,,2,0.432,0.361,-0.229,-0.164,0.323,1633253
Bud Cauley,67,59.16,2013,287.5,63.76,29.44,53.04,71.445,343,,,-0.57,-0.247,-0.063,0.238,0.148,443698
Matt Every,89,58.94,2013,288.1,65.54,29.01,56.52,71.023,545,,3,-0.092,0.293,0.323,0.296,-0.234,1188867
Matt Kuchar,93,58.93,2013,284.9,65.84,28.64,63.55,69.561,"2,293",2,7,0.398,1.398,-0.01,0.731,0.278,5616808
Marc Leishman,77,58.77,2013,286.6,65.08,29.25,57.64,70.532,648,,4,0.08,0.318,-0.099,0.345,-0.009,1491359
Scott Stallings,79,58.73,2013,295.7,64.63,29,55.07,71.135,816,,4,0.146,-0.235,0.389,-0.379,-0.392,1622627
Bubba Watson,76,58.73,2013,303.7,69.41,29.85,54.48,70.276,830,,3,-0.096,1.069,0.937,0.292,-0.065,1759276
Johnson Wagner,64,58.69,2013,278.6,64.35,29.82,56.36,72.013,430,,2,0.271,-0.946,-0.461,-0.32,-0.436,801955
Harris English,95,58.65,2013,295.2,66.02,28.95,56.11,70.438,"1,134",1,4,0.477,0.613,0.115,0.098,-0.077,2201167
James Hahn,78,58.58,2013,293.3,64.71,28.8,55.96,71.222,480,,2,0.002,-0.067,0.044,-0.079,-0.034,853507
John Rollins,77,58.56,2013,295.6,67.43,29.36,57.71,70.779,696,,2,-0.243,0.227,0.164,0.409,-0.103,1164049
Camilo Villegas,79,58.56,2013,291.8,66.74,29.13,56.12,70.586,450,,2,-0.149,0.458,-0.183,0.885,-0.095,709677
Stephen Ames,49,58.53,2013,280.7,61.11,28.53,59.18,71.454,182,,,0.713,-0.584,-0.662,-0.488,-0.147,188987
Scott Gardiner,61,58.52,2013,288.4,64.12,29.66,51.97,72.082,161,,,-0.33,-0.979,0.069,-0.527,-0.19,219645
Sangmoon Bae,83,58.39,2013,285.3,63.72,28.8,51.85,71.111,838,1,2,0.371,-0.116,0.053,-0.165,-0.376,1714640
Padraig Harrington,52,58.39,2013,288.3,60.88,29.24,56.52,71.017,345,,3,-0.131,-0.089,-0.345,0.067,0.321,711244
Brad Fritsch,81,58.06,2013,297,66.59,29.34,55.29,71.085,350,,1,-0.212,-0.046,0.005,0.313,-0.152,452184
Jason Day,86,58.03,2013,299.3,64.93,28.63,61.39,69.732,"1,284",,6,0.37,0.976,0.452,-0.013,0.167,3625030
Alistair Presnell,59,58.01,2013,284.6,62.28,29.37,57.36,71.951,140,,,-0.02,-1.03,-0.548,-0.585,0.123,163134
Rory McIlroy,56,57.92,2013,302.2,65.45,28.85,54.68,70.288,777,,5,-0.093,0.985,0.624,0.42,0.032,1802443
Robert Allenby,58,57.87,2013,284.9,62.4,29.64,52.77,72.056,129,,1,-0.337,-0.859,-0.733,0.296,-0.085,204272
Jeff Overton,78,57.83,2013,292.4,64.89,28.77,59.23,70.863,484,,2,0.315,0.327,0.296,0.099,-0.384,721723
Ernie Els,63,57.72,2013,289.6,61.74,28.98,58.08,70.491,571,,1,-0.136,0.308,0.11,0.191,0.143,1173761
Morgan Hoffmann,64,57.72,2013,295.4,64.67,28.67,57.99,70.613,444,,3,0.193,0.318,0.227,-0.344,0.242,871003
Ryan Palmer,79,57.69,2013,301.5,66.24,28.84,55.63,70.167,801,,4,0.333,0.883,0.411,0.461,-0.323,1521592
Gary Woodland,94,57.6,2013,303.8,66.98,29.34,54.58,70.733,683,1,1,0.062,0.459,0.331,0.459,-0.392,1915732
Eric Meierdierks,48,57.5,2013,301.9,66.55,30.52,50.54,72.414,72,,,-0.978,-1.476,0.316,-0.314,-0.501,58029
Andres Romero,63,57.35,2013,293.1,61.3,28.58,57.91,71.256,430,,2,0.117,-0.2,-0.05,-0.437,0.17,718507
Phil Mickelson,78,57.3,2013,287.9,66.67,28.56,58.55,69.742,"2,166",2,6,0.661,1.436,0.021,0.494,0.26,5495793
Stewart Cink,71,57.19,2013,290,67.76,29.99,53.16,70.633,568,,3,-0.238,0.416,-0.264,0.975,-0.058,1052712
Erik Compton,74,56.89,2013,292.7,65.09,29.01,61.51,71.011,422,,1,0.234,-0.193,0.012,-0.363,-0.076,651660
Jonas Blixt,76,56.54,2013,283.7,60.89,28.39,61.5,71.11,912,1,2,0.312,-0.403,-0.227,-0.882,0.394,2027517
Tommy Gainey,84,56.34,2013,291,61.04,29.07,53.99,71.892,324,,1,0.089,-0.781,-0.098,-0.361,-0.411,520479
Peter Hanson,45,56.31,2013,295.3,61.24,28.67,58.33,70.368,356,,1,0.484,0.508,-0.306,0.192,0.138,610178
Freddie Jacobson,63,56.26,2013,287.3,61.67,28.5,59.66,70.108,659,,3,0.449,1.075,0.075,0.304,0.247,1236722
Ángel Cabrera,73,56.19,2013,294,64.99,29.73,55.43,70.897,826,,2,0.069,0.063,0.294,-0.241,-0.059,1791183
Patrick Reed,83,56.13,2013,292,63.79,28.6,60.44,70.807,"1,062",1,5,0.35,0.122,0.089,-0.327,0.011,1961519
Sean O'Hair,56,55.66,2013,299.7,62,29.75,52.74,72.107,183,,,-0.277,-1.022,0.029,-0.576,-0.198,268614
Ryo Ishikawa,72,55.48,2013,291.3,66.03,29.81,53.27,71.515,298,,1,-0.683,-0.547,0.11,0.191,-0.165,424541
Michael Bradley,56,55.46,2013,285.3,66.13,30.17,53,72.345,74,,,-0.45,-1.319,-1.058,0.257,-0.068,79107
Troy Matteson,68,55.39,2013,294.1,64.81,29.11,59.33,71.889,194,,,0.003,-0.61,-0.206,-0.583,0.175,245090
Robert Garrigus,69,55.37,2013,302.4,66.15,29.62,48.74,71.058,601,,2,-0.437,0.116,0.509,0.571,-0.528,1132355
Mike Weir,60,55.07,2013,270.5,56.9,28.07,59.11,71.643,173,,,0.288,-0.771,-1.338,-0.12,0.399,194510
Shawn Stefani,63,54.97,2013,297.2,63.67,29,58.5,71.114,333,,2,0.338,-0.235,-0.11,-0.308,-0.155,511399
Casey Wittenberg,72,54.61,2013,280.5,62.14,29,60.59,71.659,199,,1,0.254,-0.62,-1.071,-0.067,0.263,425395
James Driscoll,76,53.89,2013,287.1,63.81,28.51,59.7,70.888,524,,2,0.65,0.389,-0.422,0.022,0.139,821101
Nicolas Colsaerts,50,53.8,2013,305.7,66.78,30.74,49.82,71.088,353,,3,-0.579,-0.268,0.552,0.322,-0.563,720164
Martin Flores,83,53.67,2013,300.4,65.53,28.92,62.91,70.676,552,,2,0.08,0.426,0.136,0.092,0.118,805597
Scott Piercy,78,53.57,2013,298.2,62.3,29.12,53.24,71.273,773,,4,-0.184,-0.083,0.144,-0.038,-0.006,1830084
Tag Ridings,69,53.38,2013,299.6,65.81,29.31,57.5,71.162,295,,1,0.053,-0.171,-0.054,-0.174,0.003,428922
Dustin Johnson,71,53.36,2013,305.8,66.75,29.4,53.22,70.115,"1,226",1,5,-0.101,0.805,0.332,0.663,-0.09,2963214
Jason Kokrak,78,53.17,2013,303.2,65.67,28.96,58.3,70.924,521,,3,-0.119,0.19,0.079,0.201,0.029,1267525
Charles Howell III,87,53.11,2013,294.8,66.73,28.66,64.83,70.272,996,,5,0.438,0.862,0.133,-0.084,0.374,1877389
Steven Bowditch,67,53.04,2013,300.2,61.97,28.48,62.47,71.335,400,,1,-0.046,-0.329,0.041,-0.641,0.316,697775
Tim Herron,45,52.24,2013,283.6,59.75,28.82,56.44,71.479,190,,,-0.041,-0.338,-0.208,-0.285,0.197,302570
Jimmy Walker,84,52.18,2013,298.5,66.07,28.87,60.62,70.332,996,,5,0.276,0.93,0.082,0.407,0.164,2117570
Bobby Gates,49,51.59,2013,296.2,62.84,29.58,55.15,72.59,144,,1,0.011,-1.398,-0.58,-0.498,-0.331,320248
Seung-Yul Noh,71,51.5,2013,298.8,64.26,29.52,53.36,71.625,226,,1,-0.463,-0.472,-0.162,-0.163,0.315,391763
Aaron Baddeley,68,50.71,2013,288.5,58,27.8,57.72,71.503,401,,2,0.661,-0.319,-0.603,-0.669,0.293,721024
Luke List,65,45.58,2013,306.3,62.39,29.39,54,72.444,202,,,-0.267,-1.344,-0.447,-0.533,-0.097,264401
Jerry Kelly,84,73,2012,276.1,65.63,29.18,59.39,70.955,385,,,-0.077,-0.067,-0.018,-0.218,0.245,645701
Heath Slocum,93,71.69,2012,278.9,67.84,29.87,58.33,70.911,365,,,-0.554,-0.035,0.248,0.427,-0.158,518198
Tim Clark,60,71.6,2012,276.7,64.26,29.33,58.03,70.697,707,,2,-0.121,0.301,0.285,0.151,-0.014,1407028
Jim Furyk,85,70.71,2012,280,68.19,29.05,63.83,69.304,"1,284",,5,0.423,1.752,0.225,0.83,0.275,3623805
Graeme McDowell,55,70.11,2012,285.5,66.26,29.02,51.83,70.229,"1,037",,4,-0.282,0.372,0.49,0.641,-0.478,2408279
David Toms,60,69.75,2012,275.5,66.09,29.22,61.86,70.74,623,,4,-0.141,0.191,0.131,0.012,0.189,1658428
Ben Curtis,62,69.7,2012,274.8,68.87,29.36,58.46,70.538,997,1,3,0.505,0.906,-0.044,0.408,0.036,2494153
Chris DiMarco,83,69.24,2012,273,60.55,28.59,56.86,71.488,316,,1,-0.113,-0.477,-0.371,-0.073,0.079,468298
Gary Christian,91,68.95,2012,281.9,66.99,29.53,55.25,70.82,422,,1,-0.077,0.149,0.17,0.124,-0.067,616457
Richard Lee,71,68.72,2012,285.6,68.29,29.37,54.99,70.809,262,,,0.189,0.179,0.106,-0.187,0.071,547733
John Huh,99,68.69,2012,288.3,66.44,29.15,55.52,70.384,"1,123",1,4,0.167,0.564,0.391,0.031,-0.025,2692113
Mark Wilson,84,68.62,2012,276,64.03,29.36,57.82,71.375,986,1,2,-0.102,-0.245,-0.255,0.043,0.069,2144780
Chez Reavie,83,68.57,2012,282.5,66.13,29.86,56.52,71.334,327,,,-0.206,-0.045,0.125,0.136,-0.101,580617
Zach Johnson,95,68.53,2012,281.1,64.95,28.45,60.37,69.821,"2,019",2,6,0.568,1.197,0.112,0.342,0.176,4504244
Colt Knost,79,68,2012,272.5,62.12,29.14,55.24,71.798,390,,2,0.184,-0.981,-0.566,-0.545,-0.053,848197
John Mallinger,74,67.93,2012,281.4,66.51,29.39,58.77,70.699,543,,2,-0.086,0.218,-0.086,0.184,0.206,1146852
Hunter Mahan,88,67.74,2012,293.1,68.97,29.9,53.71,70.346,"1,739",2,4,-0.109,0.541,0.4,0.372,-0.122,4019193
Brian Davis,91,67.24,2012,277.1,63.47,28.61,58.92,70.807,728,,4,0.37,0.594,-0.012,0.146,0.09,1318032
Jeff Maggert,83,67.16,2012,285.3,65.66,29.41,58.48,70.883,433,,1,-0.127,0.03,0.287,0.084,-0.214,682742
Russell Knox,72,67.03,2012,285.8,69.36,29.64,58.24,70.905,164,,,0,0.179,0.049,0.025,0.105,512584
Jason Dufner,83,66.9,2012,292.4,69.17,29.07,62.42,69.456,"2,110",2,8,0.153,1.446,0.553,0.519,0.222,4869304
Billy Horschel,63,66.58,2012,290.2,68.79,29.42,59.87,70.494,289,,1,-0.068,0.391,0.546,0.028,-0.116,486177
Tom Gillis,75,66.09,2012,289,63.85,28.67,58.4,70.812,511,,1,0.217,0.339,0.207,-0.274,0.189,1238058
John Senden,81,65.93,2012,291,68.59,29.44,57.37,70.05,867,,5,0.039,1,0.503,0.473,-0.016,1916651
Kevin Na,80,65.91,2012,281.5,62.03,28.39,61.3,70.634,866,,6,0.193,0.445,-0.255,0.301,0.206,2029943
Kris Blanks,65,65.84,2012,284.5,66.84,29.89,54.71,71.201,297,,,-0.608,-0.061,0.192,0.558,-0.203,390059
Blake Adams,107,65.83,2012,288.4,65.91,29.35,56.01,70.586,599,,2,0.232,0.356,0.237,-0.055,-0.057,1234345
Justin Rose,69,65.82,2012,290.9,70.34,29.41,61.98,69.549,"1,426",1,7,-0.122,1.64,0.355,0.84,0.567,4290930
Ryan Moore,89,65.75,2012,287.6,66.35,28.87,56.77,70.3,635,,4,0.424,0.847,0.163,0.27,-0.009,2858944
Ken Duke,104,65.69,2012,282.6,64.61,28.68,60.91,70.376,776,,6,0.349,0.654,0.019,0.309,-0.023,1511628
Chris Couch,61,65.49,2012,293.8,63.65,28.81,58.29,70.977,242,,,0.083,0.125,0.377,-0.131,-0.205,335848
Stuart Appleby,75,65.45,2012,283.3,64.79,29.08,60.44,71.095,287,,,0.154,-0.128,-0.003,-0.437,0.158,377559
Brian Harman,101,65.44,2012,290.3,63.92,28.79,58.99,70.821,493,,,0.132,0.199,0.337,-0.37,0.101,1146448
Roberto Castro,92,65.36,2012,290.6,68.41,29.62,58.49,70.434,477,,1,0.048,0.591,0.244,0.03,0.269,755095
Will Claxton,99,65.36,2012,290.4,69.06,29.56,56.9,70.369,530,,2,-0.167,0.512,0.524,0.318,-0.163,780969
Billy Mayfair,90,65.2,2012,286.8,64.02,29.48,61.76,70.948,393,,1,-0.205,-0.077,0.08,-0.083,0.131,619961
Luke Donald,63,65.16,2012,280.1,64.96,28.63,62.66,69.687,"1,294",1,6,0.818,1.641,-0.188,0.582,0.43,3512024
