Player Name,Rounds,Fairway Percentage,Year,Avg Distance,gir,Average Putts,Average Scrambling,Average Score,Points,Wins,Top 10,Average SG Putts,Average SG Total,SG:OTT,SG:APR,SG:ARG,Money
Jhonattan Vegas,90,56.01,2015,299.9,65.44,29.29,59.25,71.326,353,,,0.086,-0.267,0.173,-0.314,-0.212,446345
Phil Mickelson,70,55.98,2015,300.5,61.51,28.23,59.38,70.585,849,,3,0.262,0.581,0.072,0.022,0.225,2154200
Jason Day,75,55.94,2015,313.7,70.83,28.44,65.34,69.161,"2,459",3,8,0.586,2.106,0.772,0.461,0.287,9403330
Ángel Cabrera,53,55.9,2015,299.7,64.88,29.87,50.45,71.734,208,,,-0.572,-0.604,0.06,0.336,-0.428,381942
Eric Axley,57,55.54,2015,286.4,61.21,28.55,60.68,71.977,152,,,0.15,-0.952,-0.541,-0.372,-0.189,170687
Dustin Johnson,75,55.53,2015,317.7,67.05,28.47,57.85,69.585,"1,718",1,8,0.128,1.455,0.96,0.579,-0.212,5509467
Jonathan Randolph,72,55.19,2015,287.2,64.37,29.2,60.8,71.606,209,,,0.132,-0.718,-0.408,-0.234,-0.208,256066
Marc Leishman,74,54.99,2015,294.8,65.62,28.99,56.67,70.569,854,,4,-0.02,0.302,0.021,0.199,0.102,1762267
Andrew Putnam,68,54.98,2015,278.7,59.9,28.33,56.71,72.278,192,,,0.525,-0.905,-1.411,-0.132,0.113,282879
Seung-Yul Noh,65,54.87,2015,292.7,65.9,29.31,54.89,71.465,432,,1,0.066,-0.154,-0.555,0.147,0.188,711609
Morgan Hoffmann,85,54.83,2015,296.1,61.11,28.29,59.16,70.988,627,,2,0.232,0.196,-0.032,-0.347,0.343,1111240
Patrick Reed,103,54.78,2015,292.9,64.42,28.16,61.99,70.292,"1,593",1,3,0.394,0.859,-0.071,0.263,0.273,3590566
Tony Finau,106,54.3,2015,309,67.61,29.11,56.15,70.281,985,,5,-0.006,0.628,0.383,0.224,0.027,2095186
Camilo Villegas,83,54.12,2015,292.2,63.05,28.93,59.06,71.067,467,,,0.195,0.176,-0.296,0.133,0.143,718497
Ricky Barnes,82,54.1,2015,283.3,60.47,28.31,60,71.647,347,,1,0.159,-0.396,-0.819,-0.072,0.336,614455
J.B. Holmes,89,54.05,2015,309.9,63.66,28.32,59.35,70.581,"1,484",1,5,-0.004,0.944,0.427,0.253,0.268,4037430
Steven Bowditch,103,54.04,2015,302.1,63.43,28.2,65.19,70.835,"1,287",1,2,0.144,0.4,-0.053,0.056,0.253,3075410
Tyrone Van Aswegen,58,53.39,2015,285.6,66.77,29.48,58.2,71.684,142,,,-0.152,-0.58,-1.081,0.471,0.181,168234
Andres Romero,69,52.67,2015,295.3,61.7,28.64,56.7,71.427,312,,2,0.19,-0.374,-0.269,-0.221,-0.073,617253
Charles Howell III,105,52.43,2015,302.7,68.57,29.75,56.06,70.872,692,,3,-0.216,0.383,0.34,0.199,0.059,1257361
