RK,Player,Team,W,L,ERA,G,GS,SV,SVO,IP,H,R,ER,HR,BB,SO,AVG,WHIP,SALARY,NUMYEARS,FIRSTYEAR,LAST YEAR,TOTALVALUE,AVGANNUAL
18," Castillo, L",CIN,15,8,3.4,32,32,0,0,190.2,139,76,72,22,79,226,0.202,1.14,557500,1,2019,2019,557500,557500
19," Giolito, L",CWS,14,9,3.41,29,29,0,0,176.2,131,69,67,24,57,228,0.205,1.06,573000,1,2019,2019,573000,573000
20," Hendricks, K",CHC,11,10,3.46,30,30,0,0,177,168,78,68,19,32,150,0.249,1.13,7405000,1,2019,2019,7405000,7405000
21," Samardzija, J",SF,11,12,3.52,32,32,0,0,181.1,152,78,71,28,49,140,0.225,1.11,19800000,5,2016,2020,90000000,18000000
22," Minor, M",TEX,14,10,3.59,32,32,0,0,208.1,190,86,83,30,68,200,0.244,1.24,9833333,3,2018,2020,28000000,9333333
23," Lynn, L",TEX,16,11,3.67,33,33,0,0,208.1,195,89,85,21,59,246,0.243,1.22,9333333,3,2019,2021,30000000,10000000
24," Berrios, J",MIN,14,8,3.68,32,32,0,0,200.1,194,94,82,26,51,195,0.251,1.22,620000,1,2019,2019,620000,620000
25," Rodriguez, E",BOS,19,6,3.81,34,34,0,0,203.1,195,88,86,24,75,213,0.253,1.33,4300000,1,2019,2019,4300000,4300000
26," Teheran, J",ATL,10,11,3.81,33,33,0,0,174.2,148,81,74,22,83,162,0.229,1.32,11166666,6,2014,2019,32400000,5400000
27," Sanchez, A",WSH,11,8,3.85,30,30,0,0,166,153,77,71,22,58,134,0.236,1.27,9000000,2,2019,2020,19000000,9500000
28," Nola, A",PHI,12,7,3.87,34,34,0,0,202.1,176,91,87,27,80,229,0.233,1.27,5562500,4,2019,2022,45000000,11250000
29," Alcantara, S",MIA,6,14,3.88,32,32,0,0,197.1,179,94,85,23,81,151,0.241,1.32,555000,1,2019,2019,555000,555000
30," Anderson, B",OAK,13,9,3.89,31,31,0,0,176,181,80,76,20,49,90,0.265,1.31,1500000,1,2019,2019,1500000,1500000
31," DeSclafani, A",CIN,9,9,3.89,31,31,0,0,166.2,151,77,72,29,49,167,0.238,1.2,2125000,1,2019,2019,2125000,2125000
32," Fiers, M",OAK,15,4,3.9,33,33,0,0,184.2,166,82,80,30,53,126,0.243,1.19,6000000,2,2019,2020,14100000,7050000
33," Bumgarner, M",SF,9,9,3.9,34,34,0,0,207.2,191,99,90,30,43,203,0.245,1.13,12000000,1,2019,2019,12000000,12000000
34," Wheeler, Z",NYM,11,8,3.96,31,31,0,0,195.1,196,93,86,22,50,195,0.258,1.26,5975000,1,2019,2019,5975000,5975000
35," Darvish, Y",CHC,6,8,3.98,31,31,0,0,178.2,140,82,79,33,56,229,0.213,1.1,20000000,6,2018,2023,126000000,21000000
36," Miley, W",HOU,14,6,3.98,33,33,0,0,167.1,164,83,74,23,61,140,0.254,1.34,4500000,1,2019,2019,4500000,4500000
37," Gonzales, M",SEA,16,13,3.99,34,34,0,0,203,210,106,90,23,56,147,0.264,1.31,900000,2,2019,2020,1900000,950000
38," Fried, M",ATL,17,6,4.02,33,30,0,0,165.2,174,80,74,21,47,173,0.27,1.33,565000,1,2019,2019,565000,565000
39," Eflin, Z",PHI,10,13,4.13,32,28,0,0,163.1,172,88,75,28,48,129,0.268,1.35,590000,1,2019,2019,590000,590000
40," Mikolas, M",STL,9,14,4.16,32,32,0,0,184,193,90,85,27,32,144,0.272,1.22,8000000,2,2018,2019,15500000,7750000
41," Lucchesi, J",SD,10,10,4.18,30,30,0,0,163.2,144,78,76,23,56,158,0.233,1.22,565100,1,2019,2019,565100,565100
42," Keller, B",KC,7,14,4.19,28,28,0,0,165.1,154,80,77,15,70,122,0.247,1.35,578175,1,2019,2019,578175,578175
44," Syndergaard, N",NYM,10,8,4.28,32,32,0,0,197.2,194,101,94,24,50,202,0.256,1.23,6000000,1,2019,2019,6000000,6000000
45," Leake, M",ARI,12,11,4.29,32,32,0,0,197,227,114,94,41,27,127,0.286,1.29,17000000,5,2016,2020,80000000,16000000
46," Ray, R",ARI,12,8,4.34,33,33,0,0,174.1,150,91,84,30,84,235,0.234,1.34,6050000,1,2019,2019,6050000,6050000
47," Roark, T",OAK,10,10,4.35,31,31,0,0,165.1,180,84,80,28,51,158,0.275,1.4,10000000,1,2019,2019,10000000,10000000
48," Kelly, M",ARI,13,14,4.42,32,32,0,0,183.1,184,95,90,29,57,158,0.26,1.31,2250000,2,2019,2020,5500000,2750000
49," Musgrove, J",PIT,11,12,4.44,32,31,0,0,170.1,168,98,84,21,39,157,0.254,1.22,582500,1,2019,2019,582500,582500
50," Tanaka, M",NYY,11,9,4.45,32,31,0,0,182,186,95,90,28,40,149,0.261,1.24,22000000,7,2014,2020,155000000,22142857
51," Lester, J",CHC,13,10,4.46,31,31,0,0,171.2,205,101,85,26,52,165,0.294,1.5,27500000,6,2015,2020,155000000,25833333
52," Bauer, T",CIN,11,13,4.48,34,34,0,0,213,184,118,106,34,82,253,0.23,1.25,13000000,1,2019,2019,13000000,13000000
53," Boyd, M",DET,9,12,4.56,32,32,0,0,185.1,178,101,94,39,50,238,0.247,1.23,2600000,1,2019,2019,2600000,2600000
54," Bailey, H",OAK,13,9,4.57,31,31,0,0,163.1,162,84,83,21,53,149,0.256,1.32,555000,1,2019,2019,555000,555000
55," Quintana, J",CHC,13,9,4.68,32,31,0,0,171,191,100,89,20,46,152,0.282,1.39,10500000,1,2019,2019,10500000,10500000
56," Nova, I",CWS,11,12,4.72,34,34,0,0,187,225,107,98,30,47,114,0.303,1.45,9166667,3,2017,2019,26000000,8666667
57," Marquez, G",COL,12,5,4.76,28,28,0,0,174,174,96,92,29,35,175,0.259,1.2,565000,1,2019,2019,565000,565000
58," Perez, M",MIN,10,7,5.12,32,29,0,0,165.1,184,104,94,23,67,135,0.279,1.52,4000000,1,2019,2019,4000000,4000000
59," Junis, J",KC,9,14,5.24,31,31,0,0,175.1,192,108,102,31,58,164,0.276,1.43,578250,1,2019,2019,578250,578250
60," Lopez, R",CWS,10,15,5.38,33,33,0,0,184,203,119,110,35,65,169,0.278,1.46,580000,1,2019,2019,580000,580000
61," Porcello, R",BOS,14,12,5.52,32,32,0,0,174.1,198,114,107,31,45,143,0.278,1.39,21125000,4,2016,2019,82500000,20625000
